,machineID,datetime,time_in_cycles,voltmean_24h,rotatemean_24h,pressuremean_24h,vibrationmean_24h,voltsd_24h,rotatesd_24h,pressuresd_24h,vibrationsd_24h,voltmean_5d,rotatemean_5d,pressuremean_5d,vibrationmean_5d,voltsd_5d,rotatesd_5d,pressuresd_5d,vibrationsd_5d,error1,error2,error3,error4,error5,comp1,comp2,comp3,comp4,model,age,DI,RULWeek,failure,failed,RUL,RUL_I
0,71,2015-09-23,263,170.20096877585263,455.26216417069617,109.88050215470923,39.37860190889999,16.221725985189032,53.011397122010166,16.50486187428037,3.018368091596,170.6500633003019,442.7572133825958,112.08282666845648,39.605723102429785,3.4527124974989984,7.376488038295839,12.23055041175754,1.2489242363644024,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,model2,18,0.1092315088962711,9.0,comp3,1,60.0,0.0
1,92,2015-10-02,272,167.47725226365682,422.73687144336327,102.31817480627063,40.52943367473629,15.201288319988915,64.81241009266448,8.611664542647175,3.8653268930622096,178.0512705575998,420.174348522068,100.28114325041416,39.42902320071309,9.344079391049071,29.565229740120728,1.5310465124446138,1.606333912748583,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,model1,2,1.012048047903962,5.0,comp2,1,30.0,0.0
2,4,2015-10-14,283,179.00284769443758,434.64927820816047,99.81564643699416,40.29045957581492,19.25550136353894,75.46302550221849,9.538041588251518,5.1143098881293225,170.66624311380403,418.7608473748355,99.18294364460468,40.15326465408627,5.303945757598931,38.59766719319189,1.9672266349244945,0.3770159363009547,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,model3,7,1.047007814702433,7.0,comp2,1,45.0,0.0
3,83,2015-10-13,283,177.50165012823086,449.8730086222515,102.41092006238198,40.51208834244325,14.935506938402185,42.54186245353329,11.098857612668729,5.483532532361418,178.52486814833122,408.1539853185093,99.6980046105842,40.25822902789257,12.595022603434426,46.29747249307136,2.1334699781648108,1.0733184301335057,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,model4,18,0.667004372453167,5.0,comp1,1,30.0,0.0
4,55,2015-03-07,62,169.58309657484247,451.9197883960381,99.36196923686327,41.764757836901246,15.879335467937738,39.62301099431589,13.20274262091148,7.240558223719224,169.54659390415048,453.0684496275826,99.79220533265004,43.9921876384246,2.862841485354417,9.10832211062674,1.5816514851961383,4.409600315861391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,model3,17,0.6101954864192275,9.0,comp4,1,62.0,0.0
5,26,2015-08-19,227,170.50027364066702,436.4366161532157,99.75563183861014,40.70117992833118,11.726643192598535,67.29139773275766,12.825758161700398,5.647968447626187,172.46360521282242,384.59340164024496,100.25837369238602,40.30181734017373,6.398139827519925,30.80111036629852,1.540086471076088,0.7382445517656954,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,135.0,model3,3,0.2111460832637036,20.0,comp2,1,135.0,0.0
6,76,2015-03-04,59,172.32242518904866,425.6559057979314,100.9272051474769,40.67488899021668,16.716047040156596,50.55860938436676,6.62102960668272,4.115295418369631,167.54265460381595,419.38178484475657,99.77003987563415,41.07959010340594,2.9755771664535624,31.493310229587923,2.5597830627852867,0.8368143014373841,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,model2,10,1.1964170598491184,5.0,comp2,1,30.0,0.0
7,37,2015-11-15,315,170.73103881321268,417.0177703685388,98.31185633791117,40.5029607599021,15.23031564784144,53.69240408786487,11.78356085519762,5.4513735371061545,169.6716491079855,419.643809574538,99.2689151787604,39.6489915856296,1.5292494402447498,26.437675820759768,0.8340383291552704,1.3772484930945834,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,model1,16,0.4987490707622946,7.0,comp2,1,45.0,0.0
8,5,2015-02-23,50,172.4708214115017,460.2531151870317,101.34605958971632,40.46245545042765,16.356156182929745,54.768233582811966,9.559462478485912,4.844356952467157,176.5637608766586,455.54327509849134,99.45683740435376,40.57199902577281,10.833319811087277,6.296454262823601,1.9527500410796017,0.473946667395842,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,model3,2,1.0157477085866855,7.0,comp1,1,45.0,0.0
9,42,2015-08-19,227,174.92689360693024,439.33359006892687,102.5160199244969,41.04729770151216,12.938224427379629,48.74548014464331,8.672523872222685,6.026689928253431,169.3178957790493,419.3504281821397,101.36890820835056,39.49041965400814,3.784926623398428,30.504513710457964,1.928950429391982,1.1468859640083242,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,model1,7,0.5733861010183966,9.0,comp2,1,60.0,0.0
10,5,2015-06-23,170,168.3588651335236,416.5981058287627,102.08373735125588,39.80141519628081,16.968680282811864,53.29640219464166,10.0207818219752,7.246700496176324,170.58468659907828,414.8978756948626,101.07108407041063,40.23413336296672,2.5726961103208903,34.20130238051396,2.4152332117706856,0.7746870058900444,0.0,0.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,model3,2,0.5269629692433709,11.0,comp2,1,75.0,0.0
11,18,2015-06-29,176,169.97353300500353,442.5386857727872,101.59520037695876,40.651413211592455,15.389485674320008,52.15906904509004,10.065362217559535,5.364805220875226,178.6211425081302,418.0177370274587,100.81538316352422,40.54183819448066,6.821395061589775,39.59383437173183,1.2550530402253437,0.7937716797683585,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,model3,15,0.8055611076677214,7.0,comp2,1,45.0,0.0
